俊;jun4|zun4
定规;ding4 gui1
定亲;ding4 qin1
定语;ding4 yu3
定说;ding4 shuo1
定调;ding4 diao4
定调子;ding4 diao4 zi
定论;ding4 lun4
定货;ding4 huo4
定购;ding4 gou4
定远;ding4 yuan3
定远营;ding4 yuan3 ying2
定远县;ding4 yuan3 xian4
定边;ding4 bian1
定边县;ding4 bian1 xian4
定量;ding4 liang4
定量分块;ding4 liang4 fen1 kuai4
定量分析;ding4 liang4 fen1 xi1
定金;ding4 jin1
定银;ding4 yin2
定钱;ding4 qian
定阅;ding4 yue4
定陶;ding4 tao2
定陶县;ding4 tao2 xian4
定音;ding4 yin1
定音鼓;ding4 yin1 gu3
定额;ding4 e2
定额组;ding4 e2 zu3
定风针;ding4 feng1 zhen1
定食;ding4 shi2
定点;ding4 dian3
定点企业;ding4 dian3 qi3 ye4
定点厂;ding4 dian3 chang3
宜;yi2
宜人;yi2 ren2
宜君;yi2 jun1
宜君县;yi2 jun1 xian4
宜城;yi2 cheng2
宜城市;yi2 cheng2 shi4
宜家;yi2 jia1
宜居;yi2 ju1
宜山;yi2 shan1
宜山县;yi2 shan1 xian4
宜山镇;yi2 shan1 zhen4
宜川;yi2 chuan1
宜川县;yi2 chuan1 xian4
宜州;yi2 zhou1
宜州市;yi2 zhou1 shi4
宜于;yi2 yu2
宜昌;yi2 chang1
宜昌地区;yi2 chang1 di4 qu1
宜昌市;yi2 chang1 shi4
宜昌县;yi2 chang1 xian4
宜春;yi2 chun1
宜春地区;yi2 chun1 di4 qu1
宜春市;yi2 chun1 shi4
宜秀;yi2 xiu4
宜秀区;yi2 xiu4 qu1
宜章;yi2 zhang1
宜章县;yi2 zhang1 xian4
宜兴;yi2 xing1
宜兴市;yi2 xing1 shi4
宜良;yi2 liang2
宜良县;yi2 liang2 xian4
宜丰;yi2 feng1
宜丰县;yi2 feng1 xian4
宜宾;yi2 bin1
宜宾地区;yi2 bin1 di4 qu1
宜宾市;yi2 bin1 shi4
宜宾县;yi2 bin1 xian4
宜都;yi2 du1
宜都市;yi2 du1 shi4
宜阳;yi2 yang2
宜阳县;yi2 yang2 xian4
宜黄;yi2 huang2
宜黄县;yi2 huang2 xian4
客;ke4
客串;ke4 chuan4
客人;ke4 ren2
客堂;ke4 tang2
客场;ke4 chang3
客套;ke4 tao4
客套话;ke4 tao4 hua4
客官;ke4 guan1
客室;ke4 shi4
客家;ke4 jia1
客家人;ke4 jia1 ren2
客家话;ke4 jia1 hua4
客家语;ke4 jia1 yu3
客居;ke4 ju1
客店;ke4 dian4
客座教授;ke4 zuo4 jiao4 shou4
客厅;ke4 ting1
客户;ke4 hu4
客户应用;ke4 hu4 ying4 yong4
客户服务;ke4 hu4 fu2 wu4
客户服务器结构;ke4 hu4 fu2 wu4 qi4 jie2 gou4
客户服务部;ke4 hu4 fu2 wu4 bu4
客户机;ke4 hu4 ji1
客户机服务器环境;ke4 hu4 ji1 fu2 wu4 qi4 huan2 jing4
客户机软件;ke4 hu4 ji1 ruan3 jian4
客户端;ke4 hu4 duan1
客房;ke4 fang2
客房服务;ke4 fang2 fu2 wu4
客服;ke4 fu2
客梯;ke4 ti1
客机;ke4 ji1
客死;ke4 si3
客死他乡;ke4 si3 ta1 xiang1
客死异乡;ke4 si3 yi4 xiang1
客气;ke4 qi
客气话;ke4 qi hua4
客流;ke4 liu2
客源;ke4 yuan2
客满;ke4 man3
客群;ke4 qun2
客船;ke4 chuan2
客舱;ke4 cang1
客制化;ke4 zhi4 hua4
客观;ke4 guan1
客观世界;ke4 guan1 shi4 jie4
客观主义;ke4 guan1 zhu3 yi4
客观唯心主义;ke4 guan1 wei2 xin1 zhu3 yi4
客观性;ke4 guan1 xing4
客诉;ke4 su4
客语;ke4 yu3
客车;ke4 che1
客轮;ke4 lun2
客运;ke4 yun4
客运量;ke4 yun4 liang4
客队;ke4 dui4
客饭;ke4 fan4
客体;ke4 ti3
宣;xuan1
宣介;xuan1 jie4
宣传;xuan1 chuan2
宣传册;xuan1 chuan2 ce4
宣传攻势;xuan1 chuan2 gong1 shi4
宣传画;xuan1 chuan2 hua4
宣传部;xuan1 chuan2 bu4
宣判;xuan1 pan4
宣化;xuan1 hua4
宣化区;xuan1 hua4 qu1
宣化县;xuan1 hua4 xian4
宣告;xuan1 gao4
宣城;xuan1 cheng2
宣城市;xuan1 cheng2 shi4
宣威;xuan1 wei1
宣威市;xuan1 wei1 shi4
宣导;xuan1 dao3
宣州;xuan1 zhou1
宣州区;xuan1 zhou1 qu1
宣布;xuan1 bu4
宣布破产;xuan1 bu4 po4 chan3
宣德;xuan1 de2
宣恩;xuan1 en1
宣恩县;xuan1 en1 xian4
宣战;xuan1 zhan4
宣扬;xuan1 yang2
宣教;xuan1 jiao4
宣明;xuan1 ming2
宣武区;xuan1 wu3 qu1
宣武门;xuan1 wu3 men2
宣泄;xuan1 xie4
宣汉;xuan1 han4
宣汉县;xuan1 han4 xian4
宣示;xuan1 shi4
宣称;xuan1 cheng1
宣纸;xuan1 zhi3
宣统;xuan1 tong3
宣言;xuan1 yan2
宣认;xuan1 ren4
宣誓;xuan1 shi4
宣誓供词证明;xuan1 shi4 gong4 ci2 zheng4 ming2
宣誓就职;xuan1 shi4 jiu4 zhi2
宣誓书;xuan1 shi4 shu1
宣誓证言;xuan1 shi4 zheng4 yan2
宣讲;xuan1 jiang3
宣读;xuan1 du2
宣道;xuan1 dao4
室;shi4
室内;shi4 nei4
室内乐;shi4 nei4 yue4
室内设计;shi4 nei4 she4 ji4
室友;shi4 you3
室外;shi4 wai4
室女;shi4 nv3
室女座;shi4 nv3 zuo4
室温;shi4 wen1
室颤;shi4 chan4
宫;gong1
宫主;gong1 zhu3
宫人;gong1 ren2
宫位;gong1 wei4
宫保鸡丁;gong1 bao3 ji1 ding1
宫内节育器;gong1 nei4 jie2 yu4 qi4
宫刑;gong1 xing2
宫城;gong1 cheng2
宫城县;gong1 cheng2 xian4
宫女;gong1 nv3
宫本;gong1 ben3
宫殿;gong1 dian4
宫泽喜一;gong1 ze2 xi3 yi1
宫爆肉丁;gong1 bao4 rou4 ding1
宫爆鸡丁;gong1 bao4 ji1 ding1
宫缩;gong1 suo1
宫观;gong1 guan4
宫调;gong1 diao4
宫颈;gong1 jing3
宰;zai3
宰了;zai3 le
宰予;zai3 yu2
宰予昼寝;zai3 yu3 zhou4 qin3
宰人;zai3 ren2
宰制;zai3 zhi4
宰割;zai3 ge1
宰客;zai3 ke4
宰杀;zai3 sha1
宰牲节;zai3 sheng1 jie2
宰相;zai3 xiang4
害;hai4
害人;hai4 ren2
害人不浅;hai4 ren2 bu4 qian3
害人精;hai4 ren2 jing1
害人虫;hai4 ren2 chong2
害口;hai4 kou3
害命;hai4 ming4
害喜;hai4 xi3
害得;hai4 de
害怕;hai4 pa4
害月子;hai4 yue4 zi
害死;hai4 si3
害兽;hai4 shou4
害病;hai4 bing4
害相思病;hai4 xiang1 si1 bing4
害眼;hai4 yan3
害羞;hai4 xiu1
害群之马;hai4 qun2 zhi1 ma3
害肚子;hai4 du4 zi
害处;hai4 chu
害虫;hai4 chong2
害马;hai4 ma3
害鸟;hai4 niao3
宴;yan4
宴客;yan4 ke4
宴席;yan4 xi2
宴会;yan4 hui4
宴会厅;yan4 hui4 ting1
宴乐;yan4 le4
宴请;yan4 qing3
宴饮;yan4 yin3
宵;xiao1
宵夜;xiao1 ye4
宵小;xiao1 xiao3
宵征;xiao1 zheng1
宵禁;xiao1 jin4
家丁;jia1 ding1
家世;jia1 shi4
家世寒微;jia1 shi4 han2 wei1
家主;jia1 zhu3
家事;jia1 shi4
家人;jia1 ren2
家什;jia1 shi
家信;jia1 xin4
家佣;jia1 yong1
家传;jia1 zhuan4|jia1 chuan2
家兄;jia1 xiong1
家儿;jia1 er2
家八哥;jia1 ba1 ge1
家公;jia1 gong1
家具;jia1 ju4
家务;jia1 wu4
家叔;jia1 shu1
家和万事兴;jia1 he2 wan4 shi4 xing1
家喻户晓;jia1 yu4 hu4 xiao3
家严;jia1 yan2
家园;jia1 yuan2
家培;jia1 pei2
家境;jia1 jing4
家奴;jia1 nu2
家姐;jia1 jie3
家姑;jia1 gu1
家娘;jia1 niang2
家婆;jia1 po2
家妇;jia1 fu4
家嫂;jia1 sao3
家子;jia1 zi
家宅;jia1 zhai2
家室;jia1 shi4
家宴;jia1 yan4
家家户户;jia1 jia1 hu4 hu4
家家有本难念的经;jia1 jia1 you3 ben3 nan2 nian4 de jing1
家家酒;jia1 jia1 jiu3
家居;jia1 ju1
家居卖场;jia1 ju1 mai4 chang3
家属;jia1 shu3
家常;jia1 chang2
家常便饭;jia1 chang2 bian4 fan4
家常菜;jia1 chang2 cai4
家常豆腐;jia1 chang2 dou4 fu
家底;jia1 di3
家庭;jia1 ting2
家庭主夫;jia1 ting2 zhu3 fu1
家庭主妇;jia1 ting2 zhu3 fu4
家庭作业;jia1 ting2 zuo4 ye4
家庭地址;jia1 ting2 di4 zhi3
家庭成员;jia1 ting2 cheng2 yuan2
家庭教师;jia1 ting2 jiao4 shi1
家庭暴力;jia1 ting2 bao4 li4
家庭煮夫;jia1 ting2 zhu3 fu1
家弟;jia1 di4
家徒四壁;jia1 tu2 si4 bi4
家慈;jia1 ci2
家政;jia1 zheng4
家政员;jia1 zheng4 yuan2
家政学;jia1 zheng4 xue2
家教;jia1 jiao4
家数;jia1 shu4
家族;jia1 zu2
家族树;jia1 zu2 shu4
家景;jia1 jing3
家暴;jia1 bao4
家业;jia1 ye4
家乐氏;jia1 le4 shi4
家乐福;jia1 le4 fu2
家母;jia1 mu3
家法;jia1 fa3
家灶;jia1 zao4
家父;jia1 fu4
家爷;jia1 ye2
家产;jia1 chan3
家用;jia1 yong4
家用电器;jia1 yong4 dian4 qi4
家用电脑;jia1 yong4 dian4 nao3
家畜;jia1 chu4
家当;jia1 dang4
家的;jia1 de
家破人亡;jia1 po4 ren2 wang2
家祖;jia1 zu3
家禽;jia1 qin2
家私;jia1 si1
家童;jia1 tong2
家给人足;jia1 ji3 ren2 zu2
家老;jia1 lao3
家臣;jia1 chen2
家舅;jia1 jiu4
家花没有野花香;jia1 hua1 mei2 you3 ye3 hua1 xiang1
家里;jia1 li3
家里蹲;jia1 li3 dun1
家规;jia1 gui1
家亲;jia1 qin1
家计;jia1 ji4
家训;jia1 xun4
家语;jia1 yu3
家谱;jia1 pu3
家贫如洗;jia1 pin2 ru2 xi3
家道;jia1 dao4
家道中落;jia1 dao4 zhong1 luo4
家乡;jia1 xiang1
家乡菜;jia1 xiang1 cai4
家乡话;jia1 xiang1 hua4
家乡鸡;jia1 xiang1 ji1
家丑;jia1 chou3
家丑不可外传;jia1 chou3 bu4 ke3 wai4 chuan2
家丑不可外扬;jia1 chou3 bu4 ke3 wai4 yang2
家长;jia1 zhang3
家长制;jia1 zhang3 zhi4
家长家短;jia1 chang2 jia1 duan3
家长会;jia1 zhang3 hui4
家门;jia1 men2
家雀儿;jia1 qiao3 r
家电;jia1 dian4
家养;jia1 yang3
家马;jia1 ma3
家鸦;jia1 ya1
家鸭;jia1 ya1
家鸭绿头鸭;jia1 ya1 lv4 tou2 ya1
家麻雀;jia1 ma2 que4
容;rong2
容下;rong2 xia4
容不得;rong2 bu de2
容克;rong2 ke4
容受;rong2 shou4
容器;rong2 qi4
容城;rong2 cheng2
容城县;rong2 cheng2 xian4
容忍;rong2 ren3
容或;rong2 huo4
容易;rong2 yi4
容止;rong2 zhi3
容祖儿;rong2 zu3 er2
容积;rong2 ji1
容积效率;rong2 ji1 xiao4 lv4
容纳;rong2 na4
容县;rong2 xian4
容华绝代;rong2 hua2 jue2 dai4
容许;rong2 xu3
容让;rong2 rang4
容貌;rong2 mao4
容身;rong2 shen1
容量;rong2 liang4
容量分析;rong2 liang4 fen1 xi1
容颜;rong2 yan2
容颜失色;rong2 yan2 shi1 se4
宿世;su4 shi4
宿主;su4 zhu3
宿仇;su4 chou2
宿债;su4 zhai4
宿儒;su4 ru2
宿分;su4 fen4
宿务;su4 wu4
宿务语;su4 wu4 yu3
宿命;su4 ming4
宿命论;su4 ming4 lun4
宿命通;su4 ming4 tong1
宿城;su4 cheng2
宿城区;su4 cheng2 qu1
宿夜;su4 ye4
宿将;su4 jiang4
宿州;su4 zhou1
宿州市;su4 zhou1 shi4
宿弊;su4 bi4
宿怨;su4 yuan4
宿恨;su4 hen4
宿敌;su4 di2
宿昔;su4 xi1
宿松;su4 song1
宿松县;su4 song1 xian4
宿根;su4 gen1
宿营;su4 ying2
宿营地;su4 ying2 di4
宿疾;su4 ji2
宿缘;su4 yuan2
宿县;su4 xian4
宿县地区;su4 xian4 di4 qu1
宿舍;su4 she4
宿舍楼;su4 she4 lou2
宿草;su4 cao3
宿处;su4 chu4
宿见;su4 jian4
宿诺;su4 nuo4
宿豫;su4 yu4
宿豫区;su4 yu4 qu1
宿迁;su4 qian1
宿迁市;su4 qian1 shi4
宿酒;su4 jiu3
宿醉;su4 zui4
宿雾;su4 wu4
宿雾语;su4 wu4 yu3
宿愿;su4 yuan4
寂;ji4
寂寂;ji4 ji4
寂寞;ji4 mo4
寂灭;ji4 mie4
寂然;ji4 ran2
寂静;ji4 jing4
寄;ji4
寄主;ji4 zhu3
寄予;ji4 yu3
寄予厚望;ji4 yu3 hou4 wang4
寄件人;ji4 jian4 ren2
寄件者;ji4 jian4 zhe3
寄出;ji4 chu1
寄名;ji4 ming2
寄售;ji4 shou4
寄女;ji4 nv3
寄子;ji4 zi3
寄存;ji4 cun2
寄存器;ji4 cun2 qi4
寄存处;ji4 cun2 chu4
寄宿;ji4 su4
寄宿学校;ji4 su4 xue2 xiao4
寄宿生;ji4 su4 sheng1
寄居;ji4 ju1
寄怀;ji4 huai2
寄放;ji4 fang4
寄望;ji4 wang4
寄母;ji4 mu3
寄父;ji4 fu4
寄物柜;ji4 wu4 gui4
寄生;ji4 sheng1
寄生物;ji4 sheng1 wu4
寄生生活;ji4 sheng1 sheng1 huo2
寄生者;ji4 sheng1 zhe3
寄生虫;ji4 sheng1 chong2
寄发;ji4 fa1
寄籍;ji4 ji2
寄托;ji4 tuo1
寄卖;ji4 mai4
寄迹;ji4 ji4
寄辞;ji4 ci2
寄送;ji4 song4
寄达;ji4 da2
寄递;ji4 di4
寄销;ji4 xiao1
寄顿;ji4 dun4
寄养;ji4 yang3
密;mi4
密不可分;mi4 bu4 ke3 fen1
密不透风;mi4 bu4 tou4 feng1
密令;mi4 ling4
密件;mi4 jian4
密使;mi4 shi3
密切;mi4 qie4
密切接触者;mi4 qie4 jie1 chu4 zhe3
密切注意;mi4 qie4 zhu4 yi4
密切注视;mi4 qie4 zhu4 shi4
密切相连;mi4 qie4 xiang1 lian2
密切相关;mi4 qie4 xiang1 guan1
密友;mi4 you3
密司脱;mi4 si1 tuo1
密合;mi4 he2
密告;mi4 gao4
密商;mi4 shang1
密报;mi4 bao4
密宗;mi4 zong1
密室;mi4 shi4
密密;mi4 mi4
密密实实;mi4 mi shi2 shi
密密层层;mi4 mi ceng2 ceng2
密密扎扎;mi4 mi4 zha1 zha1
密密麻麻;mi4 mi ma2 ma2
密实;mi4 shi2
密封;mi4 feng1
密封胶;mi4 feng1 jiao1
密封舱;mi4 feng1 cang1
密封辐射源;mi4 feng1 fu2 she4 yuan2
密山;mi4 shan1
密山市;mi4 shan1 shi4
密布;mi4 bu4
密帐;mi4 zhang4
密度;mi4 du4
密度波;mi4 du4 bo1
密度计;mi4 du4 ji4
密恐;mi4 kong3
密排;mi4 pai2
密探;mi4 tan4
密接;mi4 jie1
密教;mi4 jiao4
密文;mi4 wen2
密斯;mi4 si1
密斯脱;mi4 si1 tuo1
密会;mi4 hui4
密林;mi4 lin2
密植;mi4 zhi2
密歇根;mi4 xie1 gen1
密歇根大学;mi4 xie1 gen1 da4 xue2
密歇根州;mi4 xie1 gen1 zhou1
密歇根湖;mi4 xie1 gen1 hu2
密尔沃基;mi4 er3 wo4 ji1
密特朗;mi4 te4 lang3
密码;mi4 ma3
密码保护;mi4 ma3 bao3 hu4
密码子;mi4 ma3 zi
密码学;mi4 ma3 xue2
密码货币;mi4 ma3 huo4 bi4
密码锁;mi4 ma3 suo3
密码电报;mi4 ma3 dian4 bao4
密约;mi4 yue1
密致;mi4 zhi4
密县;mi4 xian4
密缝;mi4 feng2
密织;mi4 zhi1
密而不宣;mi4 er2 bu4 xuan1
密苏里;mi4 su1 li3
密苏里州;mi4 su1 li3 zhou1
密西根;mi4 xi1 gen1
密西根州;mi4 xi1 gen1 zhou1
密西西比;mi4 xi1 xi1 bi3
密西西比州;mi4 xi1 xi1 bi3 zhou1
密访;mi4 fang3
密语;mi4 yu3
密谈;mi4 tan2
密谋;mi4 mou2
密送;mi4 song4
密钥;mi4 yao4
密闭;mi4 bi4
密闭式循环再呼吸水肺系统;mi4 bi4 shi4 xun2 huan2 zai4 hu1 xi1 shui3 fei4 xi4 tong3
密闭舱;mi4 bi4 cang1
密闭货舱;mi4 bi4 huo4 cang1
密闭门;mi4 bi4 men2
密集;mi4 ji2
密集恐惧症;mi4 ji2 kong3 ju4 zheng4
密云;mi4 yun2
密云县;mi4 yun2 xian4
密电;mi4 dian4
密麻麻;mi4 ma2 ma2
富;fu4
富不过三代;fu4 bu4 guo4 san1 dai4
富二代;fu4 er4 dai4
富人;fu4 ren2
富可敌国;fu4 ke3 di2 guo2
富含;fu4 han2
富商;fu4 shang1
富国;fu4 guo2
富国安民;fu4 guo2 an1 min2
富国强兵;fu4 guo2 qiang2 bing1
富士;fu4 shi4
富士山;fu4 shi4 shan1
富士康;fu4 shi4 kang1
富士康科技集团;fu4 shi4 kang1 ke1 ji4 ji2 tuan2
富士通;fu4 shi4 tong1
富婆;fu4 po2
富富有余;fu4 fu4 you3 yu2
富宁;fu4 ning2
富宁县;fu4 ning2 xian4
富川县;fu4 chuan1 xian4
富布赖特;fu4 bu4 lai4 te4
富平;fu4 ping2
富平县;fu4 ping2 xian4
富强;fu4 qiang2
富得流油;fu4 de liu2 you2
富态;fu4 tai
富户;fu4 hu4
富拉尔基;fu4 la1 er3 ji1
富拉尔基区;fu4 la1 er3 ji1 qu1
富文本;fu4 wen2 ben3
富于;fu4 yu2
富于想像;fu4 yu2 xiang3 xiang4
富春江;fu4 chun1 jiang1
富时;fu4 shi2
富有;fu4 you3
富民;fu4 min2
富民县;fu4 min2 xian4
富源;fu4 yuan2
富源县;fu4 yuan2 xian4
富矿;fu4 kuang4
富纳富提;fu4 na4 fu4 ti2
富县;fu4 xian4
富良野;fu4 liang2 ye3
富色彩;fu4 se4 cai3
富蕴;fu4 yun4
富蕴县;fu4 yun4 xian4
富裕;fu4 yu4
富裕县;fu4 yu4 xian4
富豪;fu4 hao2
富贵;fu4 gui4
富贵包;fu4 gui4 bao1
富贵寿考;fu4 gui4 shou4 kao3
富贵病;fu4 gui4 bing4
富贵竹;fu4 gui4 zhu2
富贵角;fu4 gui4 jiao3
富足;fu4 zu2
富农;fu4 nong2
富里;fu4 li3
富里乡;fu4 li3 xiang1
富锦;fu4 jin3
富锦市;fu4 jin3 shi4
富铁土;fu4 tie3 tu3
富阳;fu4 yang2
富阳市;fu4 yang2 shi4
富顺;fu4 shun4
富顺县;fu4 shun4 xian4
富余;fu4 yu
富饶;fu4 rao2
富丽堂皇;fu4 li4 tang2 huang2
寝;qin3
寒;han2
寒亭;han2 ting2
寒亭区;han2 ting2 qu1
寒假;han2 jia4
寒光闪闪;han2 guang1 shan3 shan3
寒冬;han2 dong1
寒冷;han2 leng3
寒喧;han2 xuan1
寒喧语;han2 xuan1 yu3
寒天;han2 tian1
寒带;han2 dai4
寒微;han2 wei1
寒心;han2 xin1
寒意;han2 yi4
寒战;han2 zhan4
寒暄;han2 xuan1
寒武爆发;han2 wu3 bao4 fa1
寒武纪;han2 wu3 ji4
寒武纪大爆发;han2 wu3 ji4 da4 bao4 fa1
寒武纪生命大爆发;han2 wu3 ji4 sheng1 ming4 da4 bao4 fa1
寒毛;han2 mao2
寒气;han2 qi4
寒流;han2 liu2
寒潮;han2 chao2
寒窗;han2 chuang1
寒舍;han2 she4
寒衣;han2 yi1
寒酸;han2 suan1
寒门;han2 men2
寒露;han2 lu4
寒风刺骨;han2 feng1 ci4 gu3
寒食;han2 shi2
寒鸦;han2 ya1
寓;yu4
寓居;yu4 ju1
寓意;yu4 yi4
寓意深远;yu4 yi4 shen1 yuan3
寓意深长;yu4 yi4 shen1 chang2
寓所;yu4 suo3
寓教于乐;yu4 jiao4 yu2 le4
寓目;yu4 mu4
寓管理于服务之中;yu4 guan3 li3 yu2 fu2 wu4 zhi1 zhong1
寓言;yu4 yan2
宁;ning2|ning4
寞;mo4
察;cha2
察合台;cha2 ge3 tai2
察哈尔;cha2 ha1 er3
察哈尔右翼中旗;cha2 ha1 er3 you4 yi4 zhong1 qi2
察哈尔右翼前旗;cha2 ha1 er3 you4 yi4 qian2 qi2
察哈尔右翼后旗;cha2 ha1 er3 you4 yi4 hou4 qi2
察察;cha2 cha2
察察为明;cha2 cha2 wei2 ming2
察布查尔;cha2 bu4 cha2 er3
察布查尔县;cha2 bu4 cha2 er3 xian4
察微知著;cha2 wei1 zhi1 zhu4
察尔汗盐湖;cha2 er3 han2 yan2 hu2
察看;cha2 kan4
察纳;cha2 na4
察觉;cha2 jue2
察言观色;cha2 yan2 guan1 se4
察访;cha2 fang3
察雅;cha2 ya3
察雅县;cha2 ya3 xian4
察验;cha2 yan4
寝具;qin3 ju4
寝室;qin3 shi4
寝食难安;qin3 shi2 nan2 an1
实;shi2
实不相瞒;shi2 bu4 xiang1 man2
实事;shi2 shi4
实事求是;shi2 shi4 qiu2 shi4
实付;shi2 fu4
实例;shi2 li4
实值;shi2 zhi2
实分析;shi2 fen1 xi1
实利;shi2 li4
实利主义;shi2 li4 zhu3 yi4
实则;shi2 ze2
实力;shi2 li4
实力主义;shi2 li4 zhu3 yi4
实务;shi2 wu4
实参;shi2 can1
实受资本;shi2 shou zi1 ben3
实名;shi2 ming2
实名制;shi2 ming2 zhi4
实在;shi2 zai4
实地;shi2 di4
实地访视;shi2 di4 fang3 shi4
实报实销;shi2 bao4 shi2 xiao1
实女;shi2 nv3
实属;shi2 shu3
实属不易;shi2 shu3 bu4 yi4
实干;shi2 gan4
实干家;shi2 gan4 jia1
实弹;shi2 dan4
实心;shi2 xin1
实心皮球;shi2 xin1 pi2 qiu2
实情;shi2 qing2
实惠;shi2 hui4
实意;shi2 yi4
实战;shi2 zhan4
实拍;shi2 pai1
实操;shi2 cao1
实据;shi2 ju4
实收;shi2 shou1
实收资本;shi2 shou1 zi1 ben3
实效;shi2 xiao4
实数;shi2 shu4
实数值;shi2 shu4 zhi2
实数集;shi2 shu4 ji2
实施;shi2 shi1
实施例;shi2 shi1 li4
实时;shi2 shi2
实景;shi2 jing3
实根;shi2 gen1
实业;shi2 ye4
实业家;shi2 ye4 jia1
实岁;shi2 sui4
实况;shi2 kuang4
实况主;shi2 kuang4 zhu3
实况转播;shi2 kuang4 zhuan3 bo1
实况录音;shi2 kuang4 lu4 yin1
实测;shi2 ce4
实物;shi2 wu4
实物教学;shi2 wu4 jiao4 xue2
实现;shi2 xian4
实用;shi2 yong4
实用主义;shi2 yong4 zhu3 yi4
实用价值;shi2 yong4 jia4 zhi2
实相;shi2 xiang4
实穿;shi2 chuan1
实线;shi2 xian4
实缴资本;shi2 jiao3 zi1 ben3
实习;shi2 xi2
实习生;shi2 xi2 sheng
实职;shi2 zhi2
实至名归;shi2 zhi4 ming2 gui1
实行;shi2 xing2
实词;shi2 ci2
实话;shi2 hua4
实话实说;shi2 hua4 shi2 shuo1
实诚;shi2 cheng2
实证;shi2 zheng4
实证主义;shi2 zheng4 zhu3 yi4
实变;shi2 bian4
实质;shi2 zhi4
实质上;shi2 zhi4 shang4
实质性;shi2 zhi4 xing4
实足;shi2 zu2
实践;shi2 jian4
实践是检验真理的唯一标准;shi2 jian4 shi4 jian3 yan4 zhen1 li3 de wei2 yi1 biao1 zhun3
实锤;shi2 chui2
实际;shi2 ji4
实际上;shi2 ji4 shang4
实际参数;shi2 ji4 can1 shu4
实际性;shi2 ji4 xing4
实际情况;shi2 ji4 qing2 kuang4
实际应用;shi2 ji4 ying4 yong4
实际控制线;shi2 ji4 kong4 zhi4 xian4
实验;shi2 yan4
实验室;shi2 yan4 shi4
实验室感染;shi2 yan4 shi4 gan3 ran3
实验心理学;shi2 yan4 xin1 li3 xue2
实验所;shi2 yan4 suo3
实验组;shi2 yan4 zu3
实体;shi2 ti3
实体层;shi2 ti3 ceng2
实体店;shi2 ti3 dian4
宁化;ning2 hua4
宁化县;ning2 hua4 xian4
宁南;ning2 nan2
宁南县;ning2 nan2 xian4
宁可;ning4 ke3
宁国;ning2 guo2
宁国市;ning2 guo2 shi4
宁城;ning2 cheng2
宁城县;ning2 cheng2 xian4
宁夏;ning2 xia4
宁夏回族自治区;ning2 xia4 hui2 zu2 zi4 zhi4 qu1
宁夏省;ning2 xia4 sheng3
宁安;ning2 an1
宁安市;ning2 an1 shi4
宁宗;ning2 zong1
宁左勿右;ning4 zuo3 wu4 you4
宁强;ning2 qiang2
宁强县;ning2 qiang2 xian4
宁德;ning2 de2
宁德地区;ning2 de2 di4 qu1
宁德市;ning2 de2 shi4
宁明;ning2 ming2
宁明县;ning2 ming2 xian4
宁晋;ning2 jin4
宁晋县;ning2 jin4 xian4
宁武;ning2 wu3
宁武县;ning2 wu3 xian4
宁死不屈;ning4 si3 bu4 qu1
宁江;ning2 jiang1
宁江区;ning2 jiang1 qu1
宁波;ning2 bo1
宁波地区;ning2 bo1 di4 qu1
宁波市;ning2 bo1 shi4
宁津;ning2 jin1
宁津县;ning2 jin1 xian4
宁海;ning2 hai3
宁海县;ning2 hai3 xian4
宁县;ning2 xian4
宁缺勿滥;ning4 que1 wu4 lan4
宁肯;ning4 ken3
宁远;ning2 yuan3
宁远县;ning2 yuan3 xian4
宁边;ning2 bian1
宁都;ning2 du1
宁都县;ning2 du1 xian4
宁乡;ning2 xiang1
宁乡县;ning2 xiang1 xian4
宁陵;ning2 ling2
宁陵县;ning2 ling2 xian4
宁阳;ning2 yang2
宁阳县;ning2 yang2 xian4
宁静;ning2 jing4
宁静致远;ning2 jing4 zhi4 yuan3
宁愿;ning4 yuan4
审;shen3
审判;shen3 pan4
审判员;shen3 pan4 yuan2
审判官;shen3 pan4 guan1
审判席;shen3 pan4 xi2
审判庭;shen3 pan4 ting2
审判栏;shen3 pan4 lan2
审判权;shen3 pan4 quan2
审判者;shen3 pan4 zhe3
审判长;shen3 pan4 zhang3
审问;shen3 wen4
审定;shen3 ding4
审察;shen3 cha2
审干;shen3 gan4
审度;shen3 duo2
审度时势;shen3 duo2 shi2 shi4
审慎;shen3 shen4
审慎行事;shen3 shen4 xing2 shi4
审批;shen3 pi1
审改;shen3 gai3
审断;shen3 duan4
审时度势;shen3 shi2 duo2 shi4
审查;shen3 cha2
审校;shen3 jiao4
审核;shen3 he2
审理;shen3 li3
审稿;shen3 gao3
审稿人;shen3 gao3 ren2
审级;shen3 ji2
审级制度;shen3 ji2 zhi4 du4
审结;shen3 jie2
审美;shen3 mei3
审美快感;shen3 mei3 kuai4 gan3
审美活动;shen3 mei3 huo2 dong4
审美眼光;shen3 mei3 yan3 guang1
审美观;shen3 mei3 guan1
审处;shen3 chu3
审视;shen3 shi4
审订;shen3 ding4
审计;shen3 ji4
审计员;shen3 ji4 yuan2
审计署;shen3 ji4 shu3
审计长;shen3 ji4 zhang3
审讯;shen3 xun4
审议;shen3 yi4
审读;shen3 du2
审酌;shen3 zhuo2
审阅;shen3 yue4
写;xie3
写下;xie3 xia4
写作;xie3 zuo4
写信;xie3 xin4
写字;xie3 zi4
