俊;jun4|zun4
切实;qie4 shi2
切断;qie1 duan4
切身;qie4 shen1
切除;qie1 chu2
刊物;kan1 wu4
刊登;kan1 deng1
刑事;xing2 shi4
刑法;xing2 fa3
划;hua4|hua2
划算;hua2 suan4
列举;lie4 ju3
列车;lie4 che1
初次;chu1 ci4
初步;chu1 bu4
初级;chu1 ji2
初衷;chu1 zhong1
判定;pan4 ding4
判断;pan4 duan4
判决;pan4 jue2
判处;pan4 chu3
别;bie2|bie4
别人;bie2 ren
别具匠心;bie2 ju4 jiang4 xin1
别墅;bie2 shu4
别提了;bie2 ti2 le
别看;bie2 kan4
别致;bie2 zhi4
别说;bie2 shuo1
劫;jie2
刨;pao2|bao4
利害;li4 hai4|li4 hai
利息;li4 xi1
利润;li4 run4
利率;li4 lv4
利用;li4 yong4
利益;li4 yi4
利索;li4 suo
删;shan1
删除;shan1 chu2
到;dao4
到位;dao4 wei4
到底;dao4 di3
到处;dao4 chu4
到达;dao4 da2
到头来;dao4 tou2 lai2
制;zhi4
制定;zhi4 ding4
制度;zhi4 du4
制服;zhi4 fu2
制止;zhi4 zhi3
制约;zhi4 yue1
制裁;zhi4 cai2
刷新;shua1 xin1
刷牙;shua1 ya2
刺;ci1|ci4
刺激;ci4 ji1
刺绣;ci4 xiu4
刺耳;ci4 er3
刺骨;ci4 gu3
刻;ke4
刻不容缓;ke4 bu4 rong2 huan3
刻意;ke4 yi4
刻舟求剑;ke4 zhou1 qiu2 jian4
刻苦;ke4 ku3
剃;ti4
则;ze2
削;xue1|xiao1
削弱;xue1 ruo4
前不久;qian2 bu4 jiu3
前仰后合;qian2 yang3 hou4 he2
前任;qian2 ren4
前夕;qian2 xi1
前所未有;qian2 suo3 wei4 you3
前提;qian2 ti2
前景;qian2 jing3
前期;qian2 qi1
前沿;qian2 yan2
前无古人;qian2 wu2 gu3 ren2
前线;qian2 xian4
前者;qian2 zhe3
前台;qian2 tai2
前赴后继;qian2 fu4 hou4 ji4
前辈;qian2 bei4
前途;qian2 tu2
前面;qian2 mian4
刹车;sha1 che1
刹那;cha4 na4
创;chuang1|chuang4
剔除;ti1 chu2
刚;gang1
刚才;gang1 cai2
刚毅;gang1 yi4
剥;bo1|bao1
剥削;bo1 xue1
剥夺;bo1 duo2
剩;sheng4
剩余;sheng4 yu2
剪刀;jian3 dao1
剪彩;jian3 cai3
副;fu4
副作用;fu4 zuo4 yong4
割;ge1
创作;chuang4 zuo4
创伤;chuang1 shang1
创始人;chuang4 shi3 ren2
创新;chuang4 xin1
创业;chuang4 ye4
创立;chuang4 li4
创造;chuang4 zao4
铲;chan3
划分;hua4 fen1
划时代;hua4 shi2 dai4
剧团;ju4 tuan2
剧情;ju4 qing2
剧本;ju4 ben3
剧烈;ju4 lie4
剧目;ju4 mu4
剧组;ju4 zu3
剧院;ju4 yuan4
劈;pi1|pi3
剑;jian4
剂;ji4
力不从心;li4 bu4 cong2 xin1
力度;li4 du4
力所能及;li4 suo3 neng2 ji2
力气;li4 qi
力求;li4 qiu2
力争;li4 zheng1
力量;li4 liang
功;gong1
功力;gong1 li4
功劳;gong1 lao2
功夫;gong1 fu
功底;gong1 di3
功效;gong1 xiao4
功率;gong1 lv4
功能;gong1 neng2
功臣;gong1 chen2
加剧;jia1 ju4
加工;jia1 gong1
加油站;jia1 you2 zhan4
加深;jia1 shen1
加班;jia1 ban1
加紧;jia1 jin3
加重;jia1 zhong4
劣势;lie4 shi4
劣质;lie4 zhi4
助威;zhu4 wei1
助手;zhu4 shou3
助理;zhu4 li3
努力;nu3 li4
劫持;jie2 chi2
劲头;jin4 tou2
勇往直前;yong3 wang3 zhi2 qian2
勇敢;yong3 gan3
勇于;yong3 yu2
勇气;yong3 qi4
勉励;mian3 li4
勉强;mian3 qiang3
勒;le4|lei1
动不动;dong4 bu dong4
动作;dong4 zuo4
动力;dong4 li4
动向;dong4 xiang4
动员;dong4 yuan2
动工;dong4 gong1
动弹;dong4 tan
动感;dong4 gan3
动态;dong4 tai4
动手;dong4 shou3
动机;dong4 ji1
动物;dong4 wu4
动用;dong4 yong4
动画片;dong4 hua4 pian4
动荡;dong4 dang4
动听;dong4 ting1
动脉;dong4 mai4
动身;dong4 shen1
动静;dong4 jing4
勘探;kan1 tan4
务实;wu4 shi2
务必;wu4 bi4
勋章;xun1 zhang1
胜任;sheng4 ren4
胜出;sheng4 chu1
胜利;sheng4 li4
胜负;sheng4 fu4
劳动;lao2 dong4
劳动力;lao2 dong4 li4
劳务;lao2 wu4
劳累;lao2 lei4
劳驾;lao2 jia4
募捐;mu4 juan1
势不可当;shi4 bu4 ke3 dang1
势力;shi4 li
势必;shi4 bi4
势头;shi4 tou2
勤俭;qin2 jian3
勤劳;qin2 lao2
勤奋;qin2 fen4
勤工俭学;qin2 gong1 jian3 xue2
勤快;qin2 kuai4
励志;li4 zhi4
劝;quan4
劝告;quan4 gao4
劝说;quan4 shuo1
劝阻;quan4 zu3
勺子;shao2 zi
勾;gou1|gou4
勾画;gou1 hua4
勾结;gou1 jie2
勿;wu4
包;bao1
包含;bao1 han2
包围;bao1 wei2
包子;bao1 zi
包容;bao1 rong2
包庇;bao1 bi4
包扎;bao1 za1
包括;bao1 kuo4
包袱;bao1 fu
包装;bao1 zhuang1
包裹;bao1 guo3
匆匆;cong1 cong1
匆忙;cong1 mang2
化妆;hua4 zhuang1
化学;hua4 xue2
化石;hua4 shi2
化纤;hua4 xian1
化肥;hua4 fei2
化身;hua4 shen1
化险为夷;hua4 xian3 wei2 yi2
化验;hua4 yan4
北京;bei3 jing1
北方;bei3 fang1
北极;bei3 ji2
汇合;hui4 he2
汇报;hui4 bao4
汇率;hui4 lv4
汇聚;hui4 ju4
汇集;hui4 ji2
匹;pi1|pi3
匹配;pi3 pei4
匿名;ni4 ming2
区分;qu1 fen1
区别;qu1 bie2
区域;qu1 yu4
十;shi2
十分;shi2 fen1
十字路口;shi2 zi4 lu4 kou3
十足;shi2 zu2
千;qian1
千家万户;qian1 jia1 wan4 hu4
千方百计;qian1 fang1 bai3 ji4
千万;qian1 wan4
千变万化;qian1 bian4 wan4 hua4
千军万马;qian1 jun1 wan4 ma3
千钧一发;qian1 jun1 yi1 fa4
升;sheng1
升温;sheng1 wen1
半;ban4
半信半疑;ban4 xin4 ban4 yi2
半场;ban4 chang3
半岛;ban4 dao3
半数;ban4 shu4
半真半假;ban4 zhen1 ban4 jia3
半路;ban4 lu4
半途而废;ban4 tu2 er2 fei4
半边天;ban4 bian1 tian1
卑鄙;bei1 bi3
卓越;zhuo2 yue4
协作;xie2 zuo4
协助;xie2 zhu4
协同;xie2 tong2
协商;xie2 shang1
协定;xie2 ding4
协会;xie2 hui4
协调;xie2 tiao2
协议;xie2 yi4
南;nan2
南瓜;nan2 gua1
南辕北辙;nan2 yuan2 bei3 zhe2
博士;bo2 shi4
博大精深;bo2 da4 jing1 shen1
博物馆;bo2 wu4 guan3
博览会;bo2 lan3 hui4
占卜;zhan1 bu3
卡;ka3|qia3
卡子;qia3 zi
卡片;ka3 pian4
卡车;ka3 che1
卡通;ka3 tong1
印刷;yin4 shua1
印刷术;yin4 shua1 shu4
印章;yin4 zhang1
印证;yin4 zheng4
印象;yin4 xiang4
危及;wei1 ji2
危害;wei1 hai4
危急;wei1 ji2
危机;wei1 ji1
危险;wei1 xian3
即;ji2
即使;ji2 shi3
即便;ji2 bian4
即可;ji2 ke3
即将;ji2 jiang1
卵;luan3
卷;juan4|juan3
卷子;juan3 zi|juan4 zi
卸;xie4
厄运;e4 yun4
厚;hou4
厚度;hou4 du4
厚道;hou4 dao
原来;yuan2 lai2
原先;yuan2 xian1
原则;yuan2 ze2
原创;yuan2 chuang4
原告;yuan2 gao4
原因;yuan2 yin1
原地;yuan2 di4
原型;yuan2 xing2
原始;yuan2 shi3
原料;yuan2 liao4
原本;yuan2 ben3
原材料;yuan2 cai2 liao4
原汁原味;yuan2 zhi1 yuan2 wei4
原理;yuan2 li3
原装;yuan2 zhuang1
原谅;yuan2 liang4
厌倦;yan4 juan4
厌恶;yan4 wu4
厌烦;yan4 fan2
厉害;li4 hai
去;qu4
去世;qu4 shi4
去向;qu4 xiang4
去年;qu4 nian2
去处;qu4 chu4
去除;qu4 chu2
参加;can1 jia1
参照;can1 zhao4
参考;can1 kao3
参与;can1 yu4
参见;can1 jian4
参观;can1 guan1
参谋;can1 mou2
参军;can1 jun1
又;you4
叉子;cha1 zi
及;ji2
及其;ji2 qi2
及早;ji2 zao3
及时;ji2 shi2
及格;ji2 ge2
友人;you3 ren2
友善;you3 shan4
友好;you3 hao3
友情;you3 qing2
友谊;you3 yi4
反之;fan3 zhi1
反倒;fan3 dao4
反问;fan3 wen4
反射;fan3 she4
反对;fan3 dui4
反差;fan3 cha1
反常;fan3 chang2
反弹;fan3 tan2
反复;fan3 fu4
反思;fan3 si1
反感;fan3 gan3
反应;fan3 ying4
反抗;fan3 kang4
反击;fan3 ji1
反映;fan3 ying4
反正;fan3 zheng4
反省;fan3 xing3
反而;fan3 er2
反过来;fan3 guo lai2
反面;fan3 mian4
反馈;fan3 kui4
反驳;fan3 bo2
叔叔;shu1 shu
取;qu3
取代;qu3 dai4
取胜;qu3 sheng4
取暖;qu3 nuan3
取决于;qu3 jue2 yu2
取消;qu3 xiao1
取笑;qu3 xiao4
取经;qu3 jing1
取缔;qu3 di4
取而代之;qu3 er2 dai4 zhi1
受不了;shou4 bu4 liao3
受伤;shou4 shang1
受到;shou4 dao4
受害;shou4 hai4
受害人;shou4 hai4 ren2
受理;shou4 li3
受益;shou4 yi4
受罪;shou4 zui4
受苦;shou4 ku3
受贿;shou4 hui4
受过;shou4 guo4
受骗;shou4 pian4
受惊;shou4 jing1
叛逆;pan4 ni4
丛;cong2
丛林;cong2 lin2
口;kou3
口令;kou3 ling4
口吃;kou3 chi1
口味;kou3 wei4
口哨;kou3 shao4
口子;kou3 zi
口径;kou3 jing4
口感;kou3 gan3
口才;kou3 cai2
口气;kou3 qi4
口水;kou3 shui3
口碑;kou3 bei1
口罩;kou3 zhao4
口腔;kou3 qiang1
口音;kou3 yin1|kou3 yin
口头;kou3 tou2
口香糖;kou3 xiang1 tang2
古人;gu3 ren2
古今中外;gu3 jin1 zhong1 wai4
古代;gu3 dai4
古典;gu3 dian3
古怪;gu3 guai4
古朴;gu3 pu3
古董;gu3 dong3
古迹;gu3 ji4
句子;ju4 zi
另外;ling4 wai4
只;zhi3|zhi1
只好;zhi3 hao3
只有;zhi3 you3
只要;zhi3 yao4
叫;jiao4
叫好;jiao4 hao3
叫板;jiao4 ban3
召开;zhao4 kai1
召集;zhao4 ji2
叮嘱;ding1 zhu3
可不是;ke3 bu shi4
可乘之机;ke3 cheng2 zhi1 ji1
可以;ke3 yi3
可信;ke3 xin4
可口;ke3 kou3
可怕;ke3 pa4
可耻;ke3 chi3
可悲;ke3 bei1
可惜;ke3 xi1
可恶;ke3 wu4
可想而知;ke3 xiang3 er2 zhi1
可爱;ke3 ai4
可怜;ke3 lian2
可是;ke3 shi4
可歌可泣;ke3 ge1 ke3 qi4
可疑;ke3 yi2
可笑;ke3 xiao4
可能;ke3 neng2
可行;ke3 xing2
可见;ke3 jian4
可观;ke3 guan1
可谓;ke3 wei4
可贵;ke3 gui4
可靠;ke3 kao4
台;tai2
台球;tai2 qiu2
史无前例;shi3 wu2 qian2 li4
右边;you4 bian
司令;si1 ling4
司机;si1 ji1
司法;si1 fa3
司空见惯;si1 kong1 jian4 guan4
叼;diao1
吃;chi1
吃不上;chi1 bu shang4
吃力;chi1 li4
吃喝玩乐;chi1 he1 wan2 le4
吃苦;chi1 ku3
吃亏;chi1 kui1
吃惊;chi1 jing1
各;ge4
各奔前程;ge4 ben4 qian2 cheng2
各式各样;ge4 shi4 ge4 yang4
各抒己见;ge4 shu1 ji3 jian4
各自;ge4 zi4
合并;he2 bing4
合乎;he2 hu1
合伙;he2 huo3
合作;he2 zuo4
合作社;he2 zuo4 she4
合同;he2 tong
合唱;he2 chang4
合影;he2 ying3
合情合理;he2 qing2 he2 li3
合成;he2 cheng2
合格;he2 ge2
合法;he2 fa3
合理;he2 li3
合算;he2 suan4
合计;he2 ji4
合资;he2 zi1
合适;he2 shi4
吉他;ji2 ta1
吉普;ji2 pu3
吉祥;ji2 xiang2
吉祥物;ji2 xiang2 wu4
吊;diao4
吊销;diao4 xiao1
同事;tong2 shi4
同人;tong2 ren2
同伙;tong2 huo3
同伴;tong2 ban4
同学;tong2 xue2
同年;tong2 nian2
同志;tong2 zhi4
同情;tong2 qing2
同意;tong2 yi4
同感;tong2 gan3
同时;tong2 shi2
同步;tong2 bu4
同盟;tong2 meng2
同等;tong2 deng3
同胞;tong2 bao1
同舟共济;tong2 zhou1 gong4 ji4
同类;tong2 lei4
名利;ming2 li4
名副其实;ming2 fu4 qi2 shi2
名胜古迹;ming2 sheng4 gu3 ji4
名字;ming2 zi
名次;ming2 ci4
名气;ming2 qi4
名片;ming2 pian4
名牌;ming2 pai2
名声;ming2 sheng1
名著;ming2 zhu4
名言;ming2 yan2
名誉;ming2 yu4
名贵;ming2 gui4
名额;ming2 e2
吐;tu3|tu4
向;xiang4
向来;xiang4 lai2
向着;xiang4 zhe
君子;jun1 zi3
吝啬;lin4 se4
吞吞吐吐;tun1 tun1 tu3 tu3
否则;fou3 ze2
否定;fou3 ding4
否决;fou3 jue2
否认;fou3 ren4
吧;ba|bia1|ba1
吩咐;fen1 fu4
含糊;han2 hu
含义;han2 yi4
含蓄;han2 xu4
听;yin3|ting4|ting1
吵;chao3
吵嘴;chao3 zui3
吵架;chao3 jia4
呐喊;na4 han3
吸取;xi1 qu3
吸引;xi1 yin3
吸收;xi1 shou1
吸纳;xi1 na4
吹;chui1
吹了;chui1 le
吹捧;chui1 peng3
吹牛;chui1 niu2
吻;wen3
吻合;wen3 he2
吼;hou3
呀;ya
呆;dai1
呈现;cheng2 xian4
告;gao4
告别;gao4 bie2
告状;gao4 zhuang4
告知;gao4 zhi1
告示;gao4 shi
告诉;gao4 su|gao4 su4
告诫;gao4 jie4
告辞;gao4 ci2
呢;ni2|ne
周到;zhou1 dao4
周围;zhou1 wei2
周密;zhou1 mi4
周折;zhou1 zhe2
周旋;zhou1 xuan2
周转;zhou1 zhuan3
周边;zhou1 bian1
味精;wei4 jing1
味道;wei4 dao
呵;a1|he1
呵护;he1 hu4
呻吟;shen1 yin2
呼吸;hu1 xi1
呼唤;hu1 huan4
呼啸;hu1 xiao4
呼应;hu1 ying4
呼救;hu1 jiu4
呼吁;hu1 yu4
呼声;hu1 sheng1
呼风唤雨;hu1 feng1 huan4 yu3
命;ming4
命令;ming4 ling4
命名;ming4 ming2
命运;ming4 yun4
命题;ming4 ti2
咀嚼;ju3 jue2
和;huo4|hu2|huo2|he4|he2
咋;ze2|za3|zha4
和尚;he2 shang
和平;he2 ping2
和平共处;he2 ping2 gong4 chu3
和气;he2 qi
和睦;he2 mu4
和蔼;he2 ai3
和解;he2 jie3
和谐;he2 xie2
咖啡;ka1 fei1
咧嘴;lie3 zui3
咨询;zi1 xun2
咬;yao3
咱们;zan2 men
笑;xiao4
咳嗽;ke2 sou
咸;xian2
咽;yan4|yan1|ye4
咽喉;yan1 hou2
哀求;ai1 qiu2
品位;pin3 wei4
品尝;pin3 chang2
品德;pin3 de2
品种;pin3 zhong3
品行;pin3 xing2
品质;pin3 zhi4
哄;hong4|hong1|hong3
哄堂大笑;hong1 tang2 da4 xiao4
哆嗦;duo1 suo
哇;wa1|wa
哈;ha3|ha1
哎;ai1
哎呀;ai1 ya1
员工;yuan2 gong1
哥哥;ge1 ge
哦;o|o2|o4|e2
哨;shao4
哪;na3|ne2|nei3|na
哪儿;na3 r
哪怕;na3 pa4
哪知道;na3 zhi1 dao4
哭;ku1
哭泣;ku1 qi4
哭笑不得;ku1 xiao4 bu4 de2
哲学;zhe2 xue2
哺乳;bu3 ru3
哺育;bu3 yu4
哼;heng1
唉;ai4|ai1
售价;shou4 jia4
售票;shou4 piao4
售货员;shou4 huo4 yuan2
唯;wei2|wei3
唯一;wei2 yi1
唯独;wei2 du2
唱歌;chang4 ge1
念;nian4
唾弃;tuo4 qi4
唾液;tuo4 ye4
啃;ken3
商务;shang1 wu4
商品;shang1 pin3
商店;shang1 dian4
商业;shang1 ye4
商标;shang1 biao1
商讨;shang1 tao3
商贩;shang1 fan4
商贾;shang1 gu3
商量;shang1 liang
啊;a3|a2|a4|a|a1
问;wen4
问世;wen4 shi4
问候;wen4 hou4
问卷;wen4 juan4
问题;wen4 ti2
哑;ya1|ya3
启事;qi3 shi4
启发;qi3 fa1
启蒙;qi3 meng2
启示;qi3 shi4
启程;qi3 cheng2
启迪;qi3 di2
啤酒;pi2 jiu3
啥;sha2
啦;la1|la
啦啦队;la1 la1 dui4
喂;wei4|wei2
善;shan4
善意;shan4 yi4
善于;shan4 yu2
善良;shan4 liang2
喇叭;la3 ba
喉咙;hou2 long2
喊;han3
喘;chuan3
喘息;chuan3 xi1
喘气;chuan3 qi4
唤起;huan4 qi3
喜事;xi3 shi4
喜出望外;xi3 chu1 wang4 wai4
喜好;xi3 hao4
喜怒哀乐;xi3 nu4 ai1 le4
喜悦;xi3 yue4
喜庆;xi3 qing4
喜欢;xi3 huan
喜洋洋;xi3 yang2 yang2
喜糖;xi3 tang2
喜闻乐见;xi3 wen2 le4 jian4
喜酒;xi3 jiu3
喝;he1|he4
喝彩;he4 cai3
喧哗;xuan1 hua2
喧闹;xuan1 nao4
丧失;sang4 shi1
丧生;sang4 sheng1
乔装;qiao2 zhuang1
单位;dan1 wei4
单元;dan1 yuan2
单方面;dan1 fang1 mian4
单独;dan1 du2
单纯;dan1 chun2
单薄;dan1 bo2
单调;dan1 diao4
单身;dan1 shen1
单边;dan1 bian1
嗅觉;xiu4 jue2
呛;qiang1|qiang4
吗;ma2|ma|ma3
嗓子;sang3 zi
呜咽;wu1 ye4
嗜好;shi4 hao4
嗨;hai1
嗯;en4|en|en1
叹气;tan4 qi4
嘈杂;cao2 za2
嘉年华;jia1 nian2 hua2
嘉宾;jia1 bin1
呕吐;ou3 tu4
尝;chang2
尝试;chang2 shi4
嘛;ma2|ma
哗然;hua2 ran2
哗变;hua2 bian4
唠叨;lao2 dao
嘲弄;chao2 nong4
嘲笑;chao2 xiao4
嘴;zui3
嘴唇;zui3 chun2
嘿;hei1
恶心;e3 xin1|e4 xin1
器官;qi4 guan1
器材;qi4 cai2
器械;qi4 xie4
噪声;zao4 sheng1
噪音;zao4 yin1
喷泉;pen1 quan2
吨;dun1
当;dang4|dang1
吓;xia4|he4
吓人;xia4 ren2
吓唬;xia4 hu
向导;xiang4 dao3
向往;xiang4 wang3
严厉;yan2 li4
严密;yan2 mi4
严寒;yan2 han2
严峻;yan2 jun4
严格;yan2 ge2
严禁;yan2 jin4
严肃;yan2 su4
严谨;yan2 jin3
严重;yan2 zhong4
嚷;rang3
嚼;jiao2|jiao4
啰唆;luo1 suo
嘱咐;zhu3 fu4
囚犯;qiu2 fan4
四;si4
四合院;si4 he2 yuan4
四季;si4 ji4
四肢;si4 zhi1
四面八方;si4 mian4 ba1 fang1
回;hui2
回升;hui2 sheng1
回味;hui2 wei4
回报;hui2 bao4
回想;hui2 xiang3
回忆;hui2 yi4
回忆录;hui2 yi4 lu4
回扣;hui2 kou4
回收;hui2 shou1
回归;hui2 gui1
回答;hui2 da2
回落;hui2 luo4
回避;hui2 bi4
回顾;hui2 gu4
回馈;hui2 kui4
回首;hui2 shou3
因人而异;yin1 ren2 er2 yi4
因此;yin1 ci3
因为;yin1 wei4
因素;yin1 su4
因而;yin1 er2
困;kun4
困境;kun4 jing4
困惑;kun4 huo4
困难;kun4 nan
固执;gu4 zhi2
固定;gu4 ding4
固有;gu4 you3
固然;gu4 ran2
固体;gu4 ti3
圈;quan1|juan1|juan4
圈套;quan1 tao4
圈子;quan1 zi
国务院;guo2 wu4 yuan4
国土;guo2 tu3
国学;guo2 xue2
国家;guo2 jia1
国宝;guo2 bao3
国徽;guo2 hui1
国情;guo2 qing2
国庆节;guo2 qing4 jie2
国有;guo2 you3
国王;guo2 wang2
国画;guo2 hua4
国籍;guo2 ji2
国防;guo2 fang2
国际;guo2 ji4
围巾;wei2 jin1
围墙;wei2 qiang2
围绕;wei2 rao4
园林;yuan2 lin2
圆;yuan2
圆形;yuan2 xing2
圆满;yuan2 man3
图像;tu2 xiang4
图形;tu2 xing2
图书馆;tu2 shu1 guan3
图案;tu2 an4
图纸;tu2 zhi3
图表;tu2 biao3
团;tuan2
团伙;tuan2 huo3
团员;tuan2 yuan2
团圆;tuan2 yuan2
团结;tuan2 jie2
团聚;tuan2 ju4
团体;tuan2 ti3
土匪;tu3 fei3
土地;tu3 di4|tu3 di
土壤;tu3 rang3
土生土长;tu3 sheng1 tu3 zhang3
土豆;tu3 dou4
在;zai4
在乎;zai4 hu
在意;zai4 yi4
在于;zai4 yu2
在线;zai4 xian4
在职;zai4 zhi2
地;de|di4
地下水;di4 xia4 shui3
地位;di4 wei4
地势;di4 shi4
地区;di4 qu1
地图;di4 tu2
地址;di4 zhi3
地域;di4 yu4
地方;di4 fang1|di4 fang
地步;di4 bu4
地段;di4 duan4
地毯;di4 tan3
地狱;di4 yu4
地球;di4 qiu2
地理;di4 li3
地质;di4 zhi4
地道;di4 dao4|di4 dao
地铁;di4 tie3
地震;di4 zhen4
地点;di4 dian3
均匀;jun1 yun2
均衡;jun1 heng2
坐;zuo4
坐落;zuo4 luo4
坑;keng1
坡;po1
坦克;tan3 ke4
坦然;tan3 ran2
坦率;tan3 shuai4
坦白;tan3 bai2
坦诚;tan3 cheng2
附;fu4
垂;chui2
垂直;chui2 zhi2
垂头丧气;chui2 tou2 sang4 qi4
垃圾桶;la1 ji1 tong3
垮;kua3
埋伏;mai2 fu2
埋怨;man2 yuan4
埋没;mai2 mo4
埋葬;mai2 zang4
埋藏;mai2 cang2
城堡;cheng2 bao3
城市;cheng2 shi4
城墙;cheng2 qiang2
执意;zhi2 yi4
执法;zhi2 fa3
执照;zhi2 zhao4
执着;zhi2 zhuo2
执行;zhi2 xing2
培育;pei2 yu4
培训;pei2 xun4
培养;pei2 yang3
基因;ji1 yin1
基地;ji1 di4
基层;ji1 ceng2
基于;ji1 yu2
基本;ji1 ben3
基本功;ji1 ben3 gong1
基准;ji1 zhun3
基础;ji1 chu3
基金;ji1 jin1
堂;tang2
坚信;jian1 xin4
坚固;jian1 gu4
坚守;jian1 shou3
坚定;jian1 ding4
坚实;jian1 shi2
坚强;jian1 qiang2
坚持;jian1 chi2
坚持不懈;jian1 chi2 bu4 xie4
坚决;jian1 jue2
坚硬;jian1 ying4
坚韧;jian1 ren4
堆;dui1
堆砌;dui1 qi4
堆积;dui1 ji1
堡垒;bao3 lei3
堤;di1
堤坝;di1 ba4
堪称;kan1 cheng1
报;bao4
报亭;bao4 ting2
报仇;bao4 chou2
报到;bao4 dao4
报名;bao4 ming2
报告;bao4 gao4
报废;bao4 fei4
报复;bao4 fu4
报社;bao4 she4
报答;bao4 da2
报纸;bao4 zhi3
报警;bao4 jing3
报道;bao4 dao4
报酬;bao4 chou
报销;bao4 xiao1
场;chang2|chang3
场合;chang3 he2
场所;chang3 suo3
场面;chang3 mian4
堵塞;du3 se4
堵车;du3 che1
块;kuai4
塌;ta1
塑料袋;su4 liao4 dai4
塑造;su4 zao4
塔;ta3
涂;tu2
涂抹;tu2 mo3
葬;zang4
填充;tian2 chong1
填写;tian2 xie3
填空;tian2 kong4
填补;tian2 bu3
砖;zhuan1
境内;jing4 nei4
境地;jing4 di4
境外;jing4 wai4
境界;jing4 jie4
境遇;jing4 yu4
垫;dian4
垫子;dian4 zi
垫底;dian4 di3
墓地;mu4 di4
墓碑;mu4 bei1
坠;zhui4
增加;zeng1 jia1
增收;zeng1 shou1
增添;zeng1 tian1
墨;mo4
墨水儿;mo4 shui3 r
堕落;duo4 luo4
坟;fen2
坟墓;fen2 mu4
墙;qiang2
壁画;bi4 hua4
坛;tan2
压倒;ya1 dao3
压制;ya1 zhi4
压力;ya1 li4
压抑;ya1 yi4
压榨;ya1 zha4
压岁钱;ya1 sui4 qian2
压缩;ya1 suo1
压迫;ya1 po4
坏;huai4
坏事;huai4 shi4
垄断;long3 duan4
坝;ba4
士兵;shi4 bing1
士气;shi4 qi4
壮;zhuang4
壮大;zhuang4 da4
壮实;zhuang4 shi
壮烈;zhuang4 lie4
壮胆;zhuang4 dan3
壮观;zhuang4 guan1
壮丽;zhuang4 li4
壶;hu2
寿命;shou4 ming4
夏;xia4
夏令营;xia4 ling4 ying2
夕阳;xi1 yang2
外;wai4
外交;wai4 jiao1
外企;wai4 qi3
外公;wai4 gong1
外向;wai4 xiang4
外婆;wai4 po2
外形;wai4 xing2
外援;wai4 yuan2
外星人;wai4 xing1 ren2
外界;wai4 jie4
外籍;wai4 ji2
外号;wai4 hao4
外行;wai4 hang2
外表;wai4 biao3
外貌;wai4 mao4
外贸;wai4 mao4
多;duo1
多元;duo1 yuan2
多元化;duo1 yuan2 hua4
多功能;duo1 gong1 neng2
多劳多得;duo1 lao2 duo1 de2
多少;duo1 shao|duo1 shao3
多年来;duo1 nian2 lai2
多心;duo1 xin1
多亏;duo1 kui1
多边;duo1 bian1
多余;duo1 yu2
多么;duo1 me
夜以继日;ye4 yi3 ji4 ri4
夜市;ye4 shi4
夜晚;ye4 wan3
夜校;ye4 xiao4
夜班;ye4 ban1
夜总会;ye4 zong3 hui4
够;gou4
够呛;gou4 qiang4
梦;meng4
梦幻;meng4 huan4
梦想;meng4 xiang3
大;dai4|da4
大不了;da4 bu4 liao3
大伙儿;da4 huo3 r
大使馆;da4 shi3 guan3
大公无私;da4 gong1 wu2 si1
大包大揽;da4 bao1 da4 lan3
大吃一惊;da4 chi1 yi1 jing1
大同小异;da4 tong2 xiao3 yi4
大名鼎鼎;da4 ming2 ding3 ding3
大地;da4 di4
大型;da4 xing2
大大咧咧;da4 da4 lie1 lie1
大夫;da4 fu1|dai4 fu
大宗;da4 zong1
大家;da4 jia1
大家庭;da4 jia1 ting2
大局;da4 ju2
大幅度;da4 fu2 du4
大厦;da4 sha4
大意;da4 yi|da4 yi4
大数据;da4 shu4 ju4
大方;da4 fang1|da4 fang
大有可为;da4 you3 ke3 wei2
大棚;da4 peng2
大概;da4 gai4
大模大样;da4 mu2 da4 yang4
大款;da4 kuan3
大气;da4 qi4
大片;da4 pian4
大约;da4 yue1
大肆;da4 si4
大腕儿;da4 wan4 r
大臣;da4 chen2
大致;da4 zhi4
大街小巷;da4 jie1 xiao3 xiang4
大象;da4 xiang4
大选;da4 xuan3
大队;da4 dui4
大雁;da4 yan4
大面积;da4 mian4 ji1
大惊小怪;da4 jing1 xiao3 guai4
大体;da4 ti3
大体上;da4 ti3 shang4
天主教;tian1 zhu3 jiao4
天使;tian1 shi3
天伦之乐;tian1 lun2 zhi1 le4
天分;tian1 fen4
天地;tian1 di4
天堂;tian1 tang2
天平;tian1 ping2
天性;tian1 xing4
天才;tian1 cai2
天文;tian1 wen2
天桥;tian1 qiao2
天气;tian1 qi4
天然气;tian1 ran2 qi4
天生;tian1 sheng1
天真;tian1 zhen1
天空;tian1 kong1
天经地义;tian1 jing1 di4 yi4
天线;tian1 xian4
天赋;tian1 fu4
天长地久;tian1 chang2 di4 jiu3
天鹅;tian1 e2
太;tai4
太太;tai4 tai
太平;tai4 ping2
太极;tai4 ji2
太极拳;tai4 ji2 quan2
太空;tai4 kong1
太阳;tai4 yang
夫人;fu1 ren
夫妇;fu1 fu4
失事;shi1 shi4
失传;shi1 chuan2
失利;shi1 li4
失去;shi1 qu4
失恋;shi1 lian4
失控;shi1 kong4
失效;shi1 xiao4
失败;shi1 bai4
